DBN,year_start,school_year,scenario,model,Forecast,Actual,Error,Abs_Error,Pct_Error
02M011,2022,2022-23,Optimistic,Piecewise Linear,767.1904761904761,668.0,99.19047619047616,99.19047619047616,0.14848873681209
02M011,2023,2023-24,Optimistic,Piecewise Linear,821.3809523809524,719.0,102.3809523809524,102.3809523809524,0.1423935359957613
02M011,2024,2024-25,Optimistic,Piecewise Linear,875.5714285714286,643.0,232.57142857142856,232.57142857142856,0.3616974005776494
02M011,2022,2022-23,Base,Prophet,649.3605603794673,668.0,-18.6394396205327,18.6394396205327,-0.0279033527253483
02M011,2023,2023-24,Base,Prophet,551.6095596708036,719.0,-167.3904403291964,167.3904403291964,-0.2328100699988823
02M011,2024,2024-25,Base,Prophet,453.5907480012944,643.0,-189.40925199870568,189.40925199870568,-0.2945711539637724
02M033,2022,2022-23,Pessimistic,Piecewise Linear,436.0,515.0,-79.00000000000006,79.00000000000006,-0.1533980582524273
02M033,2023,2023-24,Pessimistic,Piecewise Linear,391.9999999999999,587.0,-195.0000000000001,195.0000000000001,-0.3321976149914823
02M033,2024,2024-25,Pessimistic,Piecewise Linear,347.99999999999983,576.0,-228.00000000000017,228.00000000000017,-0.3958333333333336
02M033,2022,2022-23,Base,Piecewise Linear,480.0,515.0,-35.0,35.0,-0.0679611650485436
02M033,2023,2023-24,Base,Piecewise Linear,480.0,587.0,-107.0,107.0,-0.1822827938671209
02M033,2024,2024-25,Base,Piecewise Linear,480.0,576.0,-96.0,96.0,-0.1666666666666666
02M033,2022,2022-23,Optimistic,Piecewise Linear,516.5238095238095,515.0,1.5238095238095184,1.5238095238095184,0.0029588534442903
02M033,2023,2023-24,Optimistic,Piecewise Linear,553.047619047619,587.0,-33.95238095238096,33.95238095238096,-0.0578405126957086
02M033,2024,2024-25,Optimistic,Piecewise Linear,589.5714285714286,576.0,13.571428571428555,13.571428571428555,0.0235615079365079
02M033,2022,2022-23,Base,Prophet,445.8706399163053,515.0,-69.12936008369468,69.12936008369468,-0.1342317671528052
02M033,2023,2023-24,Base,Prophet,388.3598122756413,587.0,-198.64018772435867,198.64018772435867,-0.3383989569409858
02M033,2024,2024-25,Base,Prophet,330.6914207236331,576.0,-245.3085792763669,245.3085792763669,-0.4258829501325814
02M040,2022,2022-23,Pessimistic,Piecewise Linear,540.0,559.0,-19.0,19.0,-0.033989266547406
02M040,2023,2023-24,Pessimistic,Piecewise Linear,501.9999999999999,519.0,-17.000000000000114,17.000000000000114,-0.0327552986512526
02M040,2024,2024-25,Pessimistic,Piecewise Linear,463.9999999999999,521.0,-57.000000000000114,57.000000000000114,-0.1094049904030712
02M040,2022,2022-23,Base,Piecewise Linear,578.0,559.0,19.0,19.0,0.033989266547406
02M040,2023,2023-24,Base,Piecewise Linear,578.0,519.0,59.0,59.0,0.1136801541425818
02M040,2024,2024-25,Base,Piecewise Linear,578.0,521.0,57.0,57.0,0.109404990403071
02M040,2022,2022-23,Optimistic,Piecewise Linear,594.952380952381,559.0,35.95238095238096,35.95238095238096,0.0643155294318085
02M040,2023,2023-24,Optimistic,Piecewise Linear,611.9047619047619,519.0,92.90476190476193,92.90476190476193,0.1790072483714102
02M040,2024,2024-25,Optimistic,Piecewise Linear,628.8571428571429,521.0,107.85714285714288,107.85714285714288,0.2070194680559364
02M040,2022,2022-23,Base,Prophet,525.6593333740437,559.0,-33.34066662595626,33.34066662595626,-0.0596434107798859
02M040,2023,2023-24,Base,Prophet,461.3868745146392,519.0,-57.61312548536085,57.61312548536085,-0.1110079489120633
02M040,2024,2024-25,Base,Prophet,396.9383267268527,521.0,-124.06167327314728,124.06167327314728,-0.2381222135760984
02M041,2022,2022-23,Pessimistic,Piecewise Linear,369.0,416.0,-47.00000000000006,47.00000000000006,-0.1129807692307693
02M041,2023,2023-24,Pessimistic,Piecewise Linear,310.9999999999999,407.0,-96.00000000000011,96.00000000000011,-0.2358722358722361
02M041,2024,2024-25,Pessimistic,Piecewise Linear,252.99999999999983,409.0,-156.00000000000017,156.00000000000017,-0.3814180929095359
02M041,2022,2022-23,Base,Piecewise Linear,427.0,416.0,11.0,11.0,0.0264423076923076
02M041,2023,2023-24,Base,Piecewise Linear,427.0,407.0,20.0,20.0,0.0491400491400491
02M041,2024,2024-25,Base,Piecewise Linear,427.0,409.0,18.0,18.0,0.0440097799511002
02M041,2022,2022-23,Optimistic,Piecewise Linear,510.6190476190477,416.0,94.61904761904763,94.61904761904763,0.2274496336996337
02M041,2023,2023-24,Optimistic,Piecewise Linear,594.2380952380953,407.0,187.2380952380953,187.2380952380953,0.4600444600444602
02M041,2024,2024-25,Optimistic,Piecewise Linear,677.8571428571429,409.0,268.8571428571429,268.8571428571429,0.6573524275235767
02M041,2022,2022-23,Base,Prophet,352.6305300103219,416.0,-63.36946998967812,63.36946998967812,-0.152330456705957
02M041,2023,2023-24,Base,Prophet,260.717879526766,407.0,-146.28212047323404,146.28212047323404,-0.3594155294182655
02M041,2024,2024-25,Base,Prophet,168.5534135624332,409.0,-240.4465864375668,240.4465864375668,-0.5878889643950288
02M042,2022,2022-23,Pessimistic,Piecewise Linear,452.0,436.0,15.999999999999943,15.999999999999943,0.0366972477064218
02M042,2023,2023-24,Pessimistic,Piecewise Linear,428.9999999999999,416.0,12.999999999999886,12.999999999999886,0.0312499999999997
02M042,2024,2024-25,Pessimistic,Piecewise Linear,405.99999999999983,424.0,-18.00000000000017,18.00000000000017,-0.0424528301886796
02M042,2022,2022-23,Base,Piecewise Linear,475.0,436.0,39.0,39.0,0.0894495412844036
02M042,2023,2023-24,Base,Piecewise Linear,475.0,416.0,59.0,59.0,0.141826923076923
02M042,2024,2024-25,Base,Piecewise Linear,475.0,424.0,51.0,51.0,0.1202830188679245
02M042,2022,2022-23,Optimistic,Piecewise Linear,529.4285714285714,436.0,93.42857142857144,93.42857142857144,0.2142857142857143
02M042,2023,2023-24,Optimistic,Piecewise Linear,583.8571428571429,416.0,167.8571428571429,167.8571428571429,0.4035027472527473
02M042,2024,2024-25,Optimistic,Piecewise Linear,638.2857142857143,424.0,214.28571428571436,214.28571428571436,0.5053908355795149
02M042,2022,2022-23,Base,Prophet,458.8290627774949,436.0,22.82906277749493,22.82906277749493,0.0523602357281993
02M042,2023,2023-24,Base,Prophet,447.4063234415607,416.0,31.406323441560687,31.406323441560687,0.0754959698114439
02M042,2024,2024-25,Base,Prophet,435.9522889293635,424.0,11.952288929363476,11.952288929363476,0.028189360682461
02M051,2022,2022-23,Pessimistic,Piecewise Linear,341.0,351.0,-10.0,10.0,-0.0284900284900284
02M051,2023,2023-24,Pessimistic,Piecewise Linear,308.0,400.0,-92.0,92.0,-0.23
02M051,2024,2024-25,Pessimistic,Piecewise Linear,274.99999999999994,393.0,-118.00000000000006,118.00000000000006,-0.3002544529262088
02M051,2022,2022-23,Base,Piecewise Linear,374.0,351.0,23.0,23.0,0.0655270655270655
02M051,2023,2023-24,Base,Piecewise Linear,374.0,400.0,-26.0,26.0,-0.065
02M051,2024,2024-25,Base,Piecewise Linear,374.0,393.0,-19.0,19.0,-0.0483460559796437
02M051,2022,2022-23,Optimistic,Piecewise Linear,367.0952380952381,351.0,16.095238095238074,16.095238095238074,0.0458553791887124
02M051,2023,2023-24,Optimistic,Piecewise Linear,360.1904761904762,400.0,-39.8095238095238,39.8095238095238,-0.0995238095238094
02M051,2024,2024-25,Optimistic,Piecewise Linear,353.2857142857143,393.0,-39.71428571428572,39.71428571428572,-0.1010541621228644
02M051,2022,2022-23,Base,Prophet,334.0377284631349,351.0,-16.962271536865103,16.962271536865103,-0.0483255599340886
02M051,2023,2023-24,Base,Prophet,287.8887098999589,400.0,-112.11129010004112,112.11129010004112,-0.2802782252501028
02M051,2024,2024-25,Base,Prophet,241.6132556694866,393.0,-151.3867443305134,151.3867443305134,-0.385208000841001
02M059,2022,2022-23,Pessimistic,Piecewise Linear,479.0,504.0,-25.000000000000057,25.000000000000057,-0.0496031746031747
02M059,2023,2023-24,Pessimistic,Piecewise Linear,433.9999999999999,497.0,-63.000000000000114,63.000000000000114,-0.1267605633802819
02M059,2024,2024-25,Pessimistic,Piecewise Linear,388.9999999999999,499.0,-110.00000000000011,110.00000000000011,-0.2204408817635272
02M059,2022,2022-23,Base,Piecewise Linear,524.0,504.0,20.0,20.0,0.0396825396825396
02M059,2023,2023-24,Base,Piecewise Linear,524.0,497.0,27.0,27.0,0.0543259557344064
02M059,2024,2024-25,Base,Piecewise Linear,524.0,499.0,25.0,25.0,0.0501002004008016
02M059,2022,2022-23,Optimistic,Piecewise Linear,546.1904761904761,504.0,42.19047619047615,42.19047619047615,0.0837112622826907
02M059,2023,2023-24,Optimistic,Piecewise Linear,568.3809523809524,497.0,71.38095238095241,71.38095238095241,0.1436236466417553
02M059,2024,2024-25,Optimistic,Piecewise Linear,590.5714285714286,499.0,91.57142857142856,91.57142857142856,0.1835098768966504
02M059,2022,2022-23,Base,Prophet,476.98021190560536,504.0,-27.01978809439464,27.01978809439464,-0.0536106906634814
02M059,2023,2023-24,Base,Prophet,424.13588296483016,497.0,-72.86411703516984,72.86411703516984,-0.1466078813584906
02M059,2024,2024-25,Base,Prophet,371.1467750406556,499.0,-127.8532249593444,127.8532249593444,-0.2562188876940769
02M077,2022,2022-23,Pessimistic,Piecewise Linear,341.0,373.0,-32.0,32.0,-0.0857908847184986
02M077,2023,2023-24,Pessimistic,Piecewise Linear,335.99999999999994,368.0,-32.00000000000006,32.00000000000006,-0.0869565217391305
02M077,2024,2024-25,Pessimistic,Piecewise Linear,330.99999999999994,363.0,-32.00000000000006,32.00000000000006,-0.0881542699724519
02M077,2022,2022-23,Base,Piecewise Linear,346.0,373.0,-27.0,27.0,-0.0723860589812332
02M077,2023,2023-24,Base,Piecewise Linear,346.0,368.0,-22.0,22.0,-0.0597826086956521
02M077,2024,2024-25,Base,Piecewise Linear,346.0,363.0,-17.0,17.0,-0.046831955922865
02M077,2022,2022-23,Optimistic,Piecewise Linear,348.85714285714283,373.0,-24.142857142857167,24.142857142857167,-0.0647261585599387
02M077,2023,2023-24,Optimistic,Piecewise Linear,351.7142857142857,368.0,-16.285714285714278,16.285714285714278,-0.0442546583850931
02M077,2024,2024-25,Optimistic,Piecewise Linear,354.57142857142856,363.0,-8.428571428571445,8.428571428571445,-0.0232192050373869
02M077,2022,2022-23,Base,Prophet,335.0141833824203,373.0,-37.9858166175797,37.9858166175797,-0.1018386504492753
02M077,2023,2023-24,Base,Prophet,323.088731809436,368.0,-44.91126819056405,44.91126819056405,-0.1220414896482718
02M077,2024,2024-25,Base,Prophet,311.1306077663888,363.0,-51.86939223361122,51.86939223361122,-0.1428908876958987
02M089,2022,2022-23,Pessimistic,Piecewise Linear,311.0,304.0,7.0,7.0,0.0230263157894736
02M089,2023,2023-24,Pessimistic,Piecewise Linear,309.99999999999994,300.0,9.999999999999943,9.999999999999943,0.0333333333333331
02M089,2024,2024-25,Pessimistic,Piecewise Linear,308.99999999999994,306.0,2.999999999999943,2.999999999999943,0.0098039215686272
02M089,2022,2022-23,Base,Piecewise Linear,312.0,304.0,8.0,8.0,0.0263157894736842
02M089,2023,2023-24,Base,Piecewise Linear,312.0,300.0,12.0,12.0,0.04
02M089,2024,2024-25,Base,Piecewise Linear,312.0,306.0,6.0,6.0,0.0196078431372549
02M089,2022,2022-23,Optimistic,Piecewise Linear,343.3809523809524,304.0,39.38095238095241,39.38095238095241,0.1295426065162908
02M089,2023,2023-24,Optimistic,Piecewise Linear,374.7619047619048,300.0,74.76190476190476,74.76190476190476,0.2492063492063492
02M089,2024,2024-25,Optimistic,Piecewise Linear,406.1428571428572,306.0,100.14285714285715,100.14285714285715,0.3272642390289449
02M089,2022,2022-23,Base,Prophet,329.3616050784628,304.0,25.361605078462787,25.361605078462787,0.0834263324949433
02M089,2023,2023-24,Base,Prophet,318.1759754626498,300.0,18.17597546264977,18.17597546264977,0.0605865848754992
02M089,2024,2024-25,Base,Prophet,306.9597002862454,306.0,0.9597002862453792,0.9597002862453792,0.0031362754452463
02M111,2022,2022-23,Pessimistic,Piecewise Linear,225.0,347.0,-122.0,122.0,-0.3515850144092219
02M111,2023,2023-24,Pessimistic,Piecewise Linear,153.99999999999997,343.0,-189.00000000000003,189.00000000000003,-0.5510204081632654
02M111,2024,2024-25,Pessimistic,Piecewise Linear,82.99999999999994,350.0,-267.00000000000006,267.00000000000006,-0.762857142857143
02M111,2022,2022-23,Base,Piecewise Linear,296.0,347.0,-51.0,51.0,-0.1469740634005763
02M111,2023,2023-24,Base,Piecewise Linear,296.0,343.0,-47.0,47.0,-0.1370262390670553
02M111,2024,2024-25,Base,Piecewise Linear,296.0,350.0,-54.0,54.0,-0.1542857142857142
02M111,2022,2022-23,Optimistic,Piecewise Linear,307.04761904761904,347.0,-39.95238095238096,39.95238095238096,-0.1151365445313572
02M111,2023,2023-24,Optimistic,Piecewise Linear,318.09523809523813,343.0,-24.90476190476187,24.90476190476187,-0.0726086352908509
02M111,2024,2024-25,Optimistic,Piecewise Linear,329.1428571428572,350.0,-20.857142857142836,20.857142857142836,-0.0595918367346938
02M111,2022,2022-23,Base,Prophet,244.18139315863112,347.0,-102.81860684136888,102.81860684136888,-0.2963072243267114
02M111,2023,2023-24,Base,Prophet,179.52172099531822,343.0,-163.47827900468178,163.47827900468178,-0.4766130583226874
02M111,2024,2024-25,Base,Prophet,114.6848990452566,350.0,-235.3151009547434,235.3151009547434,-0.6723288598706955
02M116,2022,2022-23,Pessimistic,Piecewise Linear,299.0,306.0,-7.0,7.0,-0.022875816993464
02M116,2023,2023-24,Pessimistic,Piecewise Linear,265.0,318.0,-53.0,53.0,-0.1666666666666666
02M116,2024,2024-25,Pessimistic,Piecewise Linear,230.99999999999997,351.0,-120.00000000000006,120.00000000000006,-0.341880341880342
02M116,2022,2022-23,Base,Piecewise Linear,333.0,306.0,27.0,27.0,0.088235294117647
02M116,2023,2023-24,Base,Piecewise Linear,333.0,318.0,15.0,15.0,0.0471698113207547
02M116,2024,2024-25,Base,Piecewise Linear,333.0,351.0,-18.0,18.0,-0.0512820512820512
02M116,2022,2022-23,Optimistic,Piecewise Linear,406.95238095238096,306.0,100.95238095238096,100.95238095238096,0.3299097416744476
02M116,2023,2023-24,Optimistic,Piecewise Linear,480.9047619047619,318.0,162.90476190476193,162.90476190476193,0.5122791254866728
02M116,2024,2024-25,Optimistic,Piecewise Linear,554.8571428571429,351.0,203.8571428571429,203.8571428571429,0.5807895807895809
