DBN,year_start,school_year,scenario,model,Enrollment,Enrollment_Lower,Enrollment_Upper,is_forecast
02M006,2023,2023-24,Actual,Piecewise Linear,500.0,500.0,500.0,False
02M006,2024,2024-25,Actual,Piecewise Linear,539.0,539.0,539.0,False
02M006,2025,2025-26,Pessimistic,Piecewise Linear,542.5,496.2373493388504,588.7626506611496,True
02M006,2026,2026-27,Pessimistic,Piecewise Linear,546.0,489.3400558657763,602.6599441342237,True
02M006,2027,2027-28,Pessimistic,Piecewise Linear,549.5000000000001,484.0747320036737,614.9252679963265,True
02M006,2025,2025-26,Base,Piecewise Linear,539.0,492.7373493388504,585.2626506611496,True
02M006,2026,2026-27,Base,Piecewise Linear,539.0,482.3400558657763,595.6599441342237,True
02M006,2027,2027-28,Base,Piecewise Linear,539.0,473.5747320036736,604.4252679963264,True
02M006,2025,2025-26,Optimistic,Piecewise Linear,578.4761904761905,532.2135398150409,624.73884113734,True
02M006,2026,2026-27,Optimistic,Piecewise Linear,617.952380952381,561.2924368181573,674.6123250866046,True
02M006,2027,2027-28,Optimistic,Piecewise Linear,657.4285714285714,592.003303432245,722.8538394248978,True
02M011,2013,2013-14,Actual,Piecewise Linear,802.0,802.0,802.0,False
02M011,2014,2014-15,Actual,Piecewise Linear,854.0,854.0,854.0,False
02M011,2015,2015-16,Actual,Piecewise Linear,903.0,903.0,903.0,False
02M011,2016,2016-17,Actual,Piecewise Linear,913.0,913.0,913.0,False
02M011,2017,2017-18,Actual,Piecewise Linear,905.0,905.0,905.0,False
02M011,2018,2018-19,Actual,Piecewise Linear,870.0,870.0,870.0,False
02M011,2019,2019-20,Actual,Piecewise Linear,882.0,882.0,882.0,False
02M011,2020,2020-21,Actual,Piecewise Linear,788.0,788.0,788.0,False
02M011,2021,2021-22,Actual,Piecewise Linear,713.0,713.0,713.0,False
02M011,2022,2022-23,Actual,Piecewise Linear,668.0,668.0,668.0,False
02M011,2023,2023-24,Actual,Piecewise Linear,719.0,719.0,719.0,False
02M011,2024,2024-25,Actual,Piecewise Linear,643.0,643.0,643.0,False
02M011,2025,2025-26,Pessimistic,Piecewise Linear,614.6,546.0703356617948,683.1296643382052,True
02M011,2026,2026-27,Pessimistic,Piecewise Linear,586.2,502.2686450635963,670.1313549364038,True
02M011,2027,2027-28,Pessimistic,Piecewise Linear,557.8000000000001,460.88441926803455,654.7155807319656,True
02M011,2025,2025-26,Base,Piecewise Linear,643.0,574.4703356617949,711.5296643382051,True
02M011,2026,2026-27,Base,Piecewise Linear,643.0,559.0686450635963,726.9313549364037,True
02M011,2027,2027-28,Base,Piecewise Linear,643.0,546.0844192680345,739.9155807319655,True
02M011,2025,2025-26,Optimistic,Piecewise Linear,720.5238095238095,651.9941451856043,789.0534738620147,True
02M011,2026,2026-27,Optimistic,Piecewise Linear,798.047619047619,714.1162641112153,881.9789739840228,True
02M011,2027,2027-28,Optimistic,Piecewise Linear,875.5714285714286,778.655847839463,972.487009303394,True
02M033,2013,2013-14,Actual,Piecewise Linear,540.0,540.0,540.0,False
02M033,2014,2014-15,Actual,Piecewise Linear,598.0,598.0,598.0,False
02M033,2015,2015-16,Actual,Piecewise Linear,609.0,609.0,609.0,False
02M033,2016,2016-17,Actual,Piecewise Linear,588.0,588.0,588.0,False
02M033,2017,2017-18,Actual,Piecewise Linear,614.0,614.0,614.0,False
02M033,2018,2018-19,Actual,Piecewise Linear,599.0,599.0,599.0,False
02M033,2019,2019-20,Actual,Piecewise Linear,579.0,579.0,579.0,False
02M033,2020,2020-21,Actual,Piecewise Linear,524.0,524.0,524.0,False
02M033,2021,2021-22,Actual,Piecewise Linear,480.0,480.0,480.0,False
02M033,2022,2022-23,Actual,Piecewise Linear,515.0,515.0,515.0,False
02M033,2023,2023-24,Actual,Piecewise Linear,587.0,587.0,587.0,False
02M033,2024,2024-25,Actual,Piecewise Linear,576.0,576.0,576.0,False
02M033,2025,2025-26,Pessimistic,Piecewise Linear,597.1,535.46904953085,658.73095046915,True
02M033,2026,2026-27,Pessimistic,Piecewise Linear,618.2,542.7178094939196,693.6821905060805,True
02M033,2027,2027-28,Pessimistic,Piecewise Linear,639.3000000000001,552.1406739845837,726.4593260154164,True
02M033,2025,2025-26,Base,Piecewise Linear,576.0,514.36904953085,637.63095046915,True
02M033,2026,2026-27,Base,Piecewise Linear,576.0,500.5178094939196,651.4821905060804,True
02M033,2027,2027-28,Base,Piecewise Linear,576.0,488.8406739845837,663.1593260154164,True
02M033,2025,2025-26,Optimistic,Piecewise Linear,580.5238095238095,518.8928590546595,642.1547599929595,True
02M033,2026,2026-27,Optimistic,Piecewise Linear,585.047619047619,509.5654285415386,660.5298095536995,True
02M033,2027,2027-28,Optimistic,Piecewise Linear,589.5714285714286,502.41210255601226,676.7307545868449,True
02M040,2013,2013-14,Actual,Piecewise Linear,594.0,594.0,594.0,False
02M040,2014,2014-15,Actual,Piecewise Linear,606.0,606.0,606.0,False
02M040,2015,2015-16,Actual,Piecewise Linear,595.0,595.0,595.0,False
02M040,2016,2016-17,Actual,Piecewise Linear,615.0,615.0,615.0,False
02M040,2017,2017-18,Actual,Piecewise Linear,637.0,637.0,637.0,False
02M040,2018,2018-19,Actual,Piecewise Linear,673.0,673.0,673.0,False
02M040,2019,2019-20,Actual,Piecewise Linear,682.0,682.0,682.0,False
02M040,2020,2020-21,Actual,Piecewise Linear,616.0,616.0,616.0,False
02M040,2021,2021-22,Actual,Piecewise Linear,578.0,578.0,578.0,False
02M040,2022,2022-23,Actual,Piecewise Linear,559.0,559.0,559.0,False
02M040,2023,2023-24,Actual,Piecewise Linear,519.0,519.0,519.0,False
02M040,2024,2024-25,Actual,Piecewise Linear,521.0,521.0,521.0,False
02M040,2025,2025-26,Pessimistic,Piecewise Linear,496.1,473.8265502222283,518.3734497777717,True
02M040,2026,2026-27,Pessimistic,Piecewise Linear,471.2000000000001,443.920706616476,498.4792933835242,True
02M040,2027,2027-28,Pessimistic,Piecewise Linear,446.3000000000001,414.80058524343934,477.7994147565609,True
02M040,2025,2025-26,Base,Piecewise Linear,521.0,498.7265502222283,543.2734497777717,True
02M040,2026,2026-27,Base,Piecewise Linear,521.0,493.7207066164759,548.2792933835241,True
02M040,2027,2027-28,Base,Piecewise Linear,521.0,489.5005852434392,552.4994147565608,True
02M040,2025,2025-26,Optimistic,Piecewise Linear,556.952380952381,534.6789311746093,579.2258307301527,True
02M040,2026,2026-27,Optimistic,Piecewise Linear,592.9047619047619,565.6254685212378,620.184055288286,True
02M040,2027,2027-28,Optimistic,Piecewise Linear,628.8571428571429,597.3577281005821,660.3565576137037,True
02M041,2013,2013-14,Actual,Piecewise Linear,761.0,761.0,761.0,False
02M041,2014,2014-15,Actual,Piecewise Linear,722.0,722.0,722.0,False
02M041,2015,2015-16,Actual,Piecewise Linear,685.0,685.0,685.0,False
02M041,2016,2016-17,Actual,Piecewise Linear,663.0,663.0,663.0,False
02M041,2017,2017-18,Actual,Piecewise Linear,658.0,658.0,658.0,False
02M041,2018,2018-19,Actual,Piecewise Linear,641.0,641.0,641.0,False
02M041,2019,2019-20,Actual,Piecewise Linear,615.0,615.0,615.0,False
02M041,2020,2020-21,Actual,Piecewise Linear,485.0,485.0,485.0,False
02M041,2021,2021-22,Actual,Piecewise Linear,427.0,427.0,427.0,False
02M041,2022,2022-23,Actual,Piecewise Linear,416.0,416.0,416.0,False
02M041,2023,2023-24,Actual,Piecewise Linear,407.0,407.0,407.0,False
02M041,2024,2024-25,Actual,Piecewise Linear,409.0,409.0,409.0,False
02M041,2025,2025-26,Pessimistic,Piecewise Linear,391.8,355.03636780674924,428.5636321932508,True
02M041,2026,2026-27,Pessimistic,Piecewise Linear,374.6000000000001,329.57393001758953,419.6260699824106,True
02M041,2027,2027-28,Pessimistic,Piecewise Linear,357.4000000000001,305.40837275020874,409.3916272497914,True
02M041,2025,2025-26,Base,Piecewise Linear,409.0,372.2363678067493,445.7636321932507,True
02M041,2026,2026-27,Base,Piecewise Linear,409.0,363.9739300175895,454.02606998241055,True
02M041,2027,2027-28,Base,Piecewise Linear,409.0,357.00837275020865,460.99162724979135,True
02M041,2025,2025-26,Optimistic,Piecewise Linear,498.6190476190477,461.8554154257969,535.3826798122984,True
02M041,2026,2026-27,Optimistic,Piecewise Linear,588.2380952380953,543.2120252556847,633.2641652205059,True
02M041,2027,2027-28,Optimistic,Piecewise Linear,677.8571428571429,625.8655156073515,729.8487701069342,True
02M042,2013,2013-14,Actual,Piecewise Linear,756.0,756.0,756.0,False
02M042,2014,2014-15,Actual,Piecewise Linear,740.0,740.0,740.0,False
02M042,2015,2015-16,Actual,Piecewise Linear,691.0,691.0,691.0,False
02M042,2016,2016-17,Actual,Piecewise Linear,616.0,616.0,616.0,False
02M042,2017,2017-18,Actual,Piecewise Linear,611.0,611.0,611.0,False
02M042,2018,2018-19,Actual,Piecewise Linear,540.0,540.0,540.0,False
02M042,2019,2019-20,Actual,Piecewise Linear,514.0,514.0,514.0,False
02M042,2020,2020-21,Actual,Piecewise Linear,498.0,498.0,498.0,False
02M042,2021,2021-22,Actual,Piecewise Linear,475.0,475.0,475.0,False
02M042,2022,2022-23,Actual,Piecewise Linear,436.0,436.0,436.0,False
02M042,2023,2023-24,Actual,Piecewise Linear,416.0,416.0,416.0,False
02M042,2024,2024-25,Actual,Piecewise Linear,424.0,424.0,424.0,False
02M042,2025,2025-26,Pessimistic,Piecewise Linear,403.3,376.1766844512062,430.4233155487938,True
02M042,2026,2026-27,Pessimistic,Piecewise Linear,382.6,349.3808583864791,415.81914161352097,True
02M042,2027,2027-28,Pessimistic,Piecewise Linear,361.9,323.5418392943708,400.2581607056293,True
02M042,2025,2025-26,Base,Piecewise Linear,424.0,396.8766844512062,451.1233155487938,True
02M042,2026,2026-27,Base,Piecewise Linear,424.0,390.7808583864791,457.21914161352095,True
02M042,2027,2027-28,Base,Piecewise Linear,424.0,385.6418392943708,462.3581607056293,True
02M042,2025,2025-26,Optimistic,Piecewise Linear,495.4285714285714,468.3052558797776,522.5518869773653,True
02M042,2026,2026-27,Optimistic,Piecewise Linear,566.8571428571429,533.6380012436219,600.0762844706638,True
02M042,2027,2027-28,Optimistic,Piecewise Linear,638.2857142857143,599.9275535800851,676.6438749913435,True
02M051,2013,2013-14,Actual,Piecewise Linear,286.0,286.0,286.0,False
02M051,2014,2014-15,Actual,Piecewise Linear,314.0,314.0,314.0,False
02M051,2015,2015-16,Actual,Piecewise Linear,322.0,322.0,322.0,False
02M051,2016,2016-17,Actual,Piecewise Linear,340.0,340.0,340.0,False
02M051,2017,2017-18,Actual,Piecewise Linear,385.0,385.0,385.0,False
02M051,2018,2018-19,Actual,Piecewise Linear,410.0,410.0,410.0,False
02M051,2019,2019-20,Actual,Piecewise Linear,416.0,416.0,416.0,False
02M051,2020,2020-21,Actual,Piecewise Linear,407.0,407.0,407.0,False
02M051,2021,2021-22,Actual,Piecewise Linear,374.0,374.0,374.0,False
02M051,2022,2022-23,Actual,Piecewise Linear,351.0,351.0,351.0,False
02M051,2023,2023-24,Actual,Piecewise Linear,400.0,400.0,400.0,False
02M051,2024,2024-25,Actual,Piecewise Linear,393.0,393.0,393.0,False
02M051,2025,2025-26,Pessimistic,Piecewise Linear,392.8,345.42764096162506,440.17235903837496,True
02M051,2026,2026-27,Pessimistic,Piecewise Linear,392.6,334.5809462220293,450.6190537779708,True
02M051,2027,2027-28,Pessimistic,Piecewise Linear,392.4000000000001,325.4053673663226,459.3946326336776,True
02M051,2025,2025-26,Base,Piecewise Linear,393.0,345.62764096162505,440.37235903837495,True
02M051,2026,2026-27,Base,Piecewise Linear,393.0,334.9809462220293,451.0190537779707,True
02M051,2027,2027-28,Base,Piecewise Linear,393.0,326.0053673663225,459.9946326336775,True
02M051,2025,2025-26,Optimistic,Piecewise Linear,379.7619047619048,332.3895457235298,427.1342638002797,True
02M051,2026,2026-27,Optimistic,Piecewise Linear,366.5238095238095,308.5047557458388,424.5428633017802,True
02M051,2027,2027-28,Optimistic,Piecewise Linear,353.2857142857143,286.2910816520367,420.28034691939183,True
02M059,2013,2013-14,Actual,Piecewise Linear,598.0,598.0,598.0,False
02M059,2014,2014-15,Actual,Piecewise Linear,596.0,596.0,596.0,False
02M059,2015,2015-16,Actual,Piecewise Linear,573.0,573.0,573.0,False
02M059,2016,2016-17,Actual,Piecewise Linear,576.0,576.0,576.0,False
02M059,2017,2017-18,Actual,Piecewise Linear,594.0,594.0,594.0,False
02M059,2018,2018-19,Actual,Piecewise Linear,578.0,578.0,578.0,False
02M059,2019,2019-20,Actual,Piecewise Linear,619.0,619.0,619.0,False
02M059,2020,2020-21,Actual,Piecewise Linear,569.0,569.0,569.0,False
02M059,2021,2021-22,Actual,Piecewise Linear,524.0,524.0,524.0,False
02M059,2022,2022-23,Actual,Piecewise Linear,504.0,504.0,504.0,False
02M059,2023,2023-24,Actual,Piecewise Linear,497.0,497.0,497.0,False
02M059,2024,2024-25,Actual,Piecewise Linear,499.0,499.0,499.0,False
02M059,2025,2025-26,Pessimistic,Piecewise Linear,482.3,451.8954310592307,512.7045689407694,True
02M059,2026,2026-27,Pessimistic,Piecewise Linear,465.6,428.3621601229208,502.83783987707926,True
02M059,2027,2027-28,Pessimistic,Piecewise Linear,448.9,405.9014462458563,491.8985537541438,True
02M059,2025,2025-26,Base,Piecewise Linear,499.0,468.5954310592307,529.4045689407693,True
02M059,2026,2026-27,Base,Piecewise Linear,499.0,461.7621601229208,536.2378398770792,True
02M059,2027,2027-28,Base,Piecewise Linear,499.0,456.0014462458562,541.9985537541437,True
02M059,2025,2025-26,Optimistic,Piecewise Linear,529.5238095238095,499.1192405830402,559.9283784645788,True
02M059,2026,2026-27,Optimistic,Piecewise Linear,560.047619047619,522.8097791705399,597.2854589246982,True
02M059,2027,2027-28,Optimistic,Piecewise Linear,590.5714285714286,547.5728748172849,633.5699823255723,True
02M077,2013,2013-14,Actual,Piecewise Linear,348.0,348.0,348.0,False
02M077,2014,2014-15,Actual,Piecewise Linear,350.0,350.0,350.0,False
02M077,2015,2015-16,Actual,Piecewise Linear,345.0,345.0,345.0,False
02M077,2016,2016-17,Actual,Piecewise Linear,359.0,359.0,359.0,False
02M077,2017,2017-18,Actual,Piecewise Linear,358.0,358.0,358.0,False
02M077,2018,2018-19,Actual,Piecewise Linear,360.0,360.0,360.0,False
02M077,2019,2019-20,Actual,Piecewise Linear,362.0,362.0,362.0,False
02M077,2020,2020-21,Actual,Piecewise Linear,351.0,351.0,351.0,False
02M077,2021,2021-22,Actual,Piecewise Linear,346.0,346.0,346.0,False
02M077,2022,2022-23,Actual,Piecewise Linear,373.0,373.0,373.0,False
02M077,2023,2023-24,Actual,Piecewise Linear,368.0,368.0,368.0,False
02M077,2024,2024-25,Actual,Piecewise Linear,363.0,363.0,363.0,False
02M077,2025,2025-26,Pessimistic,Piecewise Linear,367.6,349.2599269297344,385.94007307026567,True
02M077,2026,2026-27,Pessimistic,Piecewise Linear,372.2000000000001,349.7380895662452,394.6619104337549,True
02M077,2027,2027-28,Pessimistic,Piecewise Linear,376.80000000000007,350.86321992911684,402.7367800708833,True
02M077,2025,2025-26,Base,Piecewise Linear,363.0,344.65992692973435,381.3400730702657,True
02M077,2026,2026-27,Base,Piecewise Linear,363.0,340.5380895662452,385.4619104337549,True
02M077,2027,2027-28,Base,Piecewise Linear,363.0,337.0632199291168,388.9367800708832,True
02M077,2025,2025-26,Optimistic,Piecewise Linear,360.1904761904762,341.85040312021056,378.53054926074185,True
02M077,2026,2026-27,Optimistic,Piecewise Linear,357.38095238095235,334.9190419471975,379.8428628147072,True
02M077,2027,2027-28,Optimistic,Piecewise Linear,354.57142857142856,328.6346485005453,380.5082086423118,True
02M089,2013,2013-14,Actual,Piecewise Linear,436.0,436.0,436.0,False
02M089,2014,2014-15,Actual,Piecewise Linear,406.0,406.0,406.0,False
02M089,2015,2015-16,Actual,Piecewise Linear,389.0,389.0,389.0,False
02M089,2016,2016-17,Actual,Piecewise Linear,376.0,376.0,376.0,False
02M089,2017,2017-18,Actual,Piecewise Linear,397.0,397.0,397.0,False
02M089,2018,2018-19,Actual,Piecewise Linear,421.0,421.0,421.0,False
02M089,2019,2019-20,Actual,Piecewise Linear,418.0,418.0,418.0,False
02M089,2020,2020-21,Actual,Piecewise Linear,313.0,313.0,313.0,False
02M089,2021,2021-22,Actual,Piecewise Linear,312.0,312.0,312.0,False
02M089,2022,2022-23,Actual,Piecewise Linear,304.0,304.0,304.0,False
02M089,2023,2023-24,Actual,Piecewise Linear,300.0,300.0,300.0,False
02M089,2024,2024-25,Actual,Piecewise Linear,306.0,306.0,306.0,False
02M089,2025,2025-26,Pessimistic,Piecewise Linear,303.40000000000003,295.8254628588562,310.97453714114386,True
02M089,2026,2026-27,Pessimistic,Piecewise Linear,300.80000000000007,291.5231244832191,310.07687551678106,True
02M089,2027,2027-28,Pessimistic,Piecewise Linear,298.20000000000005,287.48798684629577,308.9120131537043,True
02M089,2025,2025-26,Base,Piecewise Linear,306.0,298.4254628588562,313.5745371411438,True
02M089,2026,2026-27,Base,Piecewise Linear,306.0,296.723124483219,315.276875516781,True
02M089,2027,2027-28,Base,Piecewise Linear,306.0,295.2879868462957,316.7120131537043,True
02M089,2025,2025-26,Optimistic,Piecewise Linear,339.3809523809524,331.8064152398086,346.95548952209623,True
02M089,2026,2026-27,Optimistic,Piecewise Linear,372.7619047619048,363.48502924512377,382.03878027868575,True
02M089,2027,2027-28,Optimistic,Piecewise Linear,406.1428571428572,395.4308439891529,416.85487029656144,True
02M111,2013,2013-14,Actual,Piecewise Linear,305.0,305.0,305.0,False
02M111,2014,2014-15,Actual,Piecewise Linear,302.0,302.0,302.0,False
02M111,2015,2015-16,Actual,Piecewise Linear,304.0,304.0,304.0,False
02M111,2016,2016-17,Actual,Piecewise Linear,291.0,291.0,291.0,False
02M111,2017,2017-18,Actual,Piecewise Linear,349.0,349.0,349.0,False
02M111,2018,2018-19,Actual,Piecewise Linear,365.0,365.0,365.0,False
02M111,2019,2019-20,Actual,Piecewise Linear,388.0,388.0,388.0,False
02M111,2020,2020-21,Actual,Piecewise Linear,367.0,367.0,367.0,False
02M111,2021,2021-22,Actual,Piecewise Linear,296.0,296.0,296.0,False
02M111,2022,2022-23,Actual,Piecewise Linear,347.0,347.0,347.0,False
02M111,2023,2023-24,Actual,Piecewise Linear,343.0,343.0,343.0,False
02M111,2024,2024-25,Actual,Piecewise Linear,350.0,350.0,350.0,False
02M111,2025,2025-26,Pessimistic,Piecewise Linear,351.3,295.88814463549863,406.7118553645014,True
02M111,2026,2026-27,Pessimistic,Piecewise Linear,352.6,284.73461432803447,420.4653856719656,True
02M111,2027,2027-28,Pessimistic,Piecewise Linear,353.90000000000003,275.53580262726587,432.2641973727342,True
02M111,2025,2025-26,Base,Piecewise Linear,350.0,294.5881446354986,405.4118553645014,True
02M111,2026,2026-27,Base,Piecewise Linear,350.0,282.13461432803444,417.8653856719656,True
02M111,2027,2027-28,Base,Piecewise Linear,350.0,271.63580262726583,428.36419737273417,True
02M111,2025,2025-26,Optimistic,Piecewise Linear,343.04761904761904,287.63576368311766,398.4594744121204,True
02M111,2026,2026-27,Optimistic,Piecewise Linear,336.09523809523813,268.2298524232726,403.9606237672037,True
02M111,2027,2027-28,Optimistic,Piecewise Linear,329.1428571428572,250.778659770123,407.50705451559134,True
02M116,2013,2013-14,Actual,Piecewise Linear,724.0,724.0,724.0,False
02M116,2014,2014-15,Actual,Piecewise Linear,642.0,642.0,642.0,False
02M116,2015,2015-16,Actual,Piecewise Linear,591.0,591.0,591.0,False
02M116,2016,2016-17,Actual,Piecewise Linear,539.0,539.0,539.0,False
02M116,2017,2017-18,Actual,Piecewise Linear,492.0,492.0,492.0,False
02M116,2018,2018-19,Actual,Piecewise Linear,450.0,450.0,450.0,False
02M116,2019,2019-20,Actual,Piecewise Linear,446.0,446.0,446.0,False
02M116,2020,2020-21,Actual,Piecewise Linear,367.0,367.0,367.0,False
02M116,2021,2021-22,Actual,Piecewise Linear,333.0,333.0,333.0,False
02M116,2022,2022-23,Actual,Piecewise Linear,306.0,306.0,306.0,False
02M116,2023,2023-24,Actual,Piecewise Linear,318.0,318.0,318.0,False
02M116,2024,2024-25,Actual,Piecewise Linear,351.0,351.0,351.0,False
02M116,2025,2025-26,Pessimistic,Piecewise Linear,346.3,297.2973379643849,395.3026620356151,True
02M116,2026,2026-27,Pessimistic,Piecewise Linear,341.6000000000001,281.5842409873452,401.61575901265496,True
02M116,2027,2027-28,Pessimistic,Piecewise Linear,336.9000000000001,267.5997707568481,406.2002292431521,True
02M116,2025,2025-26,Base,Piecewise Linear,351.0,301.99733796438494,400.0026620356151,True
02M116,2026,2026-27,Base,Piecewise Linear,351.0,290.9842409873451,411.0157590126549,True
02M116,2027,2027-28,Base,Piecewise Linear,351.0,281.699770756848,420.300229243152,True
02M116,2025,2025-26,Optimistic,Piecewise Linear,418.95238095238096,369.9497189167659,467.955042987996,True
02M116,2026,2026-27,Optimistic,Piecewise Linear,486.9047619047619,426.88900289210704,546.9205209174168,True
02M116,2027,2027-28,Optimistic,Piecewise Linear,554.8571428571429,485.5569136139909,624.1573721002949,True
02M124,2013,2013-14,Actual,Piecewise Linear,830.0,830.0,830.0,False
02M124,2014,2014-15,Actual,Piecewise Linear,792.0,792.0,792.0,False
02M124,2015,2015-16,Actual,Piecewise Linear,739.0,739.0,739.0,False
