DBN,School Name,year_start,scenario,model,forecast,actual,error,abs_error,pct_error
02M001,P.S. 001 Alfred E. Smith,2022,pessimistic,Piecewise Linear,172.99999999999997,159.0,13.999999999999972,13.999999999999972,0.08805031446540863
02M001,P.S. 001 Alfred E. Smith,2023,pessimistic,Piecewise Linear,153.99999999999994,168.0,-14.000000000000057,14.000000000000057,-0.08333333333333368
02M001,P.S. 001 Alfred E. Smith,2024,pessimistic,Piecewise Linear,134.9999999999999,160.0,-25.000000000000114,25.000000000000114,-0.15625000000000072
02M001,P.S. 001 Alfred E. Smith,2022,base,Piecewise Linear,192.0,159.0,33.0,33.0,0.20754716981132076
02M001,P.S. 001 Alfred E. Smith,2023,base,Piecewise Linear,192.0,168.0,24.0,24.0,0.14285714285714285
02M001,P.S. 001 Alfred E. Smith,2024,base,Piecewise Linear,192.0,160.0,32.0,32.0,0.2
02M001,P.S. 001 Alfred E. Smith,2022,optimistic,Piecewise Linear,239.14285714285714,159.0,80.14285714285714,80.14285714285714,0.5040431266846361
02M001,P.S. 001 Alfred E. Smith,2023,optimistic,Piecewise Linear,286.2857142857143,168.0,118.28571428571428,118.28571428571428,0.7040816326530612
02M001,P.S. 001 Alfred E. Smith,2024,optimistic,Piecewise Linear,333.42857142857144,160.0,173.42857142857144,173.42857142857144,1.0839285714285716
02M001,P.S. 001 Alfred E. Smith,2022,base,Prophet,180.7272929736243,159.0,21.727292973624287,21.727292973624287,0.13664964134354898
02M001,P.S. 001 Alfred E. Smith,2023,base,Prophet,171.2750515041171,168.0,3.2750515041171013,3.2750515041171013,0.01949435419117322
02M001,P.S. 001 Alfred E. Smith,2024,base,Prophet,161.79691348263864,160.0,1.7969134826386437,1.7969134826386437,0.011230709266491523
02M002,P.S. 002 Meyer London,2022,pessimistic,Piecewise Linear,289.0,319.0,-30.0,30.0,-0.09404388714733543
02M002,P.S. 002 Meyer London,2023,pessimistic,Piecewise Linear,234.99999999999997,255.0,-20.00000000000003,20.00000000000003,-0.07843137254901972
02M002,P.S. 002 Meyer London,2024,pessimistic,Piecewise Linear,180.99999999999994,317.0,-136.00000000000006,136.00000000000006,-0.4290220820189276
02M002,P.S. 002 Meyer London,2022,base,Piecewise Linear,343.0,319.0,24.0,24.0,0.07523510971786834
02M002,P.S. 002 Meyer London,2023,base,Piecewise Linear,343.0,255.0,88.0,88.0,0.34509803921568627
02M002,P.S. 002 Meyer London,2024,base,Piecewise Linear,343.0,317.0,26.0,26.0,0.08201892744479496
02M002,P.S. 002 Meyer London,2022,optimistic,Piecewise Linear,426.09523809523813,319.0,107.09523809523813,107.09523809523813,0.33572174951485306
