DBN,School Name,Year,ds,k5_enroll,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5
02M150,P.S. 150,2014-15,2014-09-01,166,28,26,27,30,28,27
02M150,P.S. 150,2015-16,2015-09-01,166,28,25,27,29,29,28
02M150,P.S. 150,2016-17,2016-09-01,168,28,27,28,30,28,27
02M151,Yorkville Community School,2013-14,2013-09-01,485,112,97,116,77,83,0
02M151,Yorkville Community School,2014-15,2014-09-01,572,92,103,97,117,81,82
02M151,Yorkville Community School,2015-16,2015-09-01,548,74,91,95,90,117,81
02M151,Yorkville Community School,2016-17,2016-09-01,518,84,71,73,91,88,111
02M158,P.S. 158 Bayard Taylor,2013-14,2013-09-01,711,124,137,112,123,105,110
02M158,P.S. 158 Bayard Taylor,2014-15,2014-09-01,689,142,117,124,96,111,99
02M158,P.S. 158 Bayard Taylor,2015-16,2015-09-01,691,125,139,106,120,91,110
02M158,P.S. 158 Bayard Taylor,2016-17,2016-09-01,710,134,122,134,107,121,92
02M183,P.S. 183 Robert L. Stevenson,2013-14,2013-09-01,606,110,97,97,108,109,85
02M183,P.S. 183 Robert L. Stevenson,2014-15,2014-09-01,595,118,94,93,86,106,98
02M183,P.S. 183 Robert L. Stevenson,2015-16,2015-09-01,555,117,101,74,92,77,94
02M183,P.S. 183 Robert L. Stevenson,2016-17,2016-09-01,546,113,101,93,76,90,73
02M198,P.S. 198 Isador E. Ida Straus,2013-14,2013-09-01,467,59,85,77,104,56,86
02M198,P.S. 198 Isador E. Ida Straus,2014-15,2014-09-01,435,80,55,77,72,100,51
02M198,P.S. 198 Isador E. Ida Straus,2015-16,2015-09-01,450,77,72,56,75,69,101
02M198,P.S. 198 Isador E. Ida Straus,2016-17,2016-09-01,413,71,83,67,55,72,65
02M212,P.S. 212 Midtown West,2013-14,2013-09-01,343,56,55,62,58,56,56
02M212,P.S. 212 Midtown West,2014-15,2014-09-01,343,56,56,57,60,58,56
02M212,P.S. 212 Midtown West,2015-16,2015-09-01,342,56,57,59,56,59,55
02M212,P.S. 212 Midtown West,2016-17,2016-09-01,339,55,56,56,57,57,58
02M217,P.S./I.S. 217 Roosevelt Island,2013-14,2013-09-01,398,91,94,71,63,49,30
02M217,P.S./I.S. 217 Roosevelt Island,2014-15,2014-09-01,442,107,98,83,60,57,37
02M217,P.S./I.S. 217 Roosevelt Island,2015-16,2015-09-01,488,87,99,105,75,64,58
02M217,P.S./I.S. 217 Roosevelt Island,2016-17,2016-09-01,522,101,89,102,106,66,58
02M225,Ella Baker School,2013-14,2013-09-01,192,35,36,35,35,27,24
02M225,Ella Baker School,2014-15,2014-09-01,200,37,32,38,26,36,31
02M225,Ella Baker School,2015-16,2015-09-01,207,36,35,33,37,28,38
